company,product_name,product_type,category,currency,policy_year,fulfillment_rate,status,data_year,last_updated
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,週年紅利,美元,1,,discontinued,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,週年紅利,美元,2,100.0,normal,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,週年紅利,美元,3,100.0,normal,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,週年紅利,美元,4,100.0,normal,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,週年紅利,美元,5,100.0,normal,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,週年紅利,美元,6,,not_launched,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,終期紅利,美元,1,,discontinued,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,終期紅利,美元,2,,no_termination,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,終期紅利,美元,3,100.0,normal,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,終期紅利,美元,4,100.0,normal,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,終期紅利,美元,5,100.0,normal,2024,2026-02-06
周大福人寿,「传承宝」壽險計劃,分紅人壽保險,終期紅利,美元,6,,not_launched,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,1,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,2,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,3,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,4,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,5,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,6,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,7,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,8,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,9,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,10,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,週年紅利,美元,11,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,1,,no_dividend,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,2,,no_dividend,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,3,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,4,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,5,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,6,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,7,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,8,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,9,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,10,100.0,normal,2024,2026-02-06
周大福人寿,「财富100」壽險計劃,分紅人壽保險,終期紅利,美元,11,100.0,normal,2024,2026-02-06
周大福人寿,「小龙 88」壽險計劃,分紅人壽保險,週年紅利,美元,1,,no_dividend,2024,2026-02-06
周大福人寿,「小龙 88」壽險計劃,分紅人壽保險,週年紅利,美元,2,,no_dividend,2024,2026-02-06
周大福人寿,「小龙 88」壽險計劃,分紅人壽保險,週年紅利,美元,3,,no_dividend,2024,2026-02-06
周大福人寿,「小龙 88」壽險計劃,分紅人壽保險,週年紅利,美元,4,,not_launched,2024,2026-02-06
周大福人寿,「小龙 88」壽險計劃,分紅人壽保險,終期紅利,美元,1,,no_termination,2024,2026-02-06
周大福人寿,「小龙 88」壽險計劃,分紅人壽保險,終期紅利,美元,2,100.0,normal,2024,2026-02-06
周大福人寿,「小龙 88」壽險計劃,分紅人壽保險,終期紅利,美元,3,,no_termination,2024,2026-02-06
周大福人寿,「小龙 88」壽險計劃,分紅人壽保險,終期紅利,美元,4,,not_launched,2024,2026-02-06
周大福人寿,「匠心 • 傳承」儲蓄壽險計劃2（尊尚版）,分紅人壽保險,復歸紅利,美元,1,,not_reached_yet,2024,2026-02-06
周大福人寿,「匠心 • 傳承」儲蓄壽險計劃2（尊尚版）,分紅人壽保險,復歸紅利,港元,1,,not_reached_yet,2024,2026-02-06
周大福人寿,「匠心 • 傳承」儲蓄壽險計劃2（尊尚版）,分紅人壽保險,復歸紅利,人民幣,1,,not_reached_yet,2024,2026-02-06
周大福人寿,「匠心 • 傳承」儲蓄壽險計劃2（尊尚版）,分紅人壽保險,終期分紅,美元,1,,not_reached_yet,2024,2026-02-06
周大福人寿,「匠心 • 傳承」儲蓄壽險計劃2（尊尚版）,分紅人壽保險,終期分紅,港元,1,,not_reached_yet,2024,2026-02-06
周大福人寿,「匠心 • 傳承」儲蓄壽險計劃2（尊尚版）,分紅人壽保險,終期分紅,人民幣,1,,not_reached_yet,2024,2026-02-06
